cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,TOTAL DE OUTROS CUSTOS FIXOS (F),307.94,3.07939,6.14,6000.0,4.58
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,CUSTO FIXO (E+F=G),602.46,6.02464,12.02,6000.0,8.95
Assis Chateaubriand,PR,2022,V - OUTROS CUSTOS FIXOS,CUSTO OPERACIONAL (D+G=H),5614.63,56.14634,112.02,6000.0,83.46
Assis Chateaubriand,PR,2022,VI - RENDA DE FATORES,32 - Remuneração esperada sobre o capital fixo,88.91,0.88906,1.77,6000.0,1.32
Assis Chateaubriand,PR,2022,VI - RENDA DE FATORES,33 - Terra Própria,1023.28,10.23277,20.42,6000.0,15.21
Assis Chateaubriand,PR,2022,VI - RENDA DE FATORES,TOTAL DE RENDA DE FATORES (F),1112.19,11.12183,22.19,6000.0,16.53
Assis Chateaubriand,PR,2022,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),6726.82,67.26817,134.21,6000.0,99.99
Assis Chateaubriand,PR,2023,I - DESPESAS DO CUSTEIO,1 - Operação com animal,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2023,I - DESPESAS DO CUSTEIO,2 - Operação com Avião,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,3.1 - Tratores e Colheitadeiras,198.74,1.9874,4.71,6000.0,2.52
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,4 - Aluguel de Máquinas,300.15,3.0015,7.11,6000.0,3.81
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,5 - Aluguel de Animais,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,6 - Mão de obra,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,7 - Administrador,91.16,0.9116,2.16,6000.0,1.16
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,8 - Sementes e mudas,1080.72,10.8072,25.59,6000.0,13.71
Assis Chateaubriand,PR,2023,3 - Operação com máquinas:,9 - Fertilizantes,1116.7,11.167,26.44,6000.0,14.16
