municipio,ano,data_semeadura,produtividade_prevista_kg_ha
Missal,2018,15/02/,3392.4461850656635
Missal,2018,25/02/,3322.8838615476147
Missal,2018,05/03/,3358.7942614146755
Missal,2018,15/03/,3372.8142866749295
Missal,2018,25/03/,3388.3301221815377
Missal,2019,05/02/,1928.6578104574055
Missal,2019,15/02/,1907.2559215443332
Missal,2019,25/02/,1931.970924803893
Missal,2019,05/03/,1917.3072483963772
Missal,2019,15/03/,1956.278223059604
Missal,2019,25/03/,1916.1679647378344
Missal,2020,05/02/,3865.6638063519113
Missal,2020,15/02/,3851.5986997402156
Missal,2020,25/02/,3808.220296649626
Missal,2020,05/03/,3846.3623755547765
Missal,2020,15/03/,3795.939004207022
Missal,2020,25/03/,3840.137664512969
Missal,2021,05/02/,2949.7666374225164
Missal,2021,15/02/,3021.570770711947
Missal,2021,25/02/,3348.463509786456
Missal,2021,05/03/,3157.7954604100955
Missal,2021,15/03/,2654.1608106687327
Missal,2021,25/03/,2787.207077148622
Missal,2022,05/02/,2315.449638637866
Missal,2022,15/02/,2904.2484559565537
Missal,2022,25/02/,3123.435587809107
Missal,2022,05/03/,3231.995437947718
Missal,2022,15/03/,3217.6971989987283
Missal,2022,25/03/,3338.557031669865
Missal,2023,05/02/,2943.491387080972
Missal,2023,15/02/,2927.7107446624973
Missal,2023,25/02/,3222.93518542437
Missal,2023,05/03/,3343.6302782348794
Missal,2023,15/03/,3134.3608308124913
Missal,2023,25/03/,3207.818697941556
Missal,2024,05/02/,2566.5742078094695
Missal,2024,15/02/,2514.36173135663
Missal,2024,25/02/,2695.6178706287733
Missal,2024,05/03/,3032.490251762066
Missal,2024,15/03/,2979.11673765135
Missal,2024,25/03/,2762.022897696817
Missal,2025,05/02/,2787.005185439093
Missal,2025,15/02/,2971.325848221556
Missal,2025,25/02/,3049.628514432569
Missal,2025,05/03/,3030.259788564061
Missal,2025,15/03/,3018.480715207924
Missal,2025,25/03/,3061.608379400347
Nova Aurora,1999,05/02/,3345.874225738151
Nova Aurora,1999,15/02/,3479.4480544411626
Nova Aurora,1999,25/02/,3380.235205512059
Nova Aurora,1999,05/03/,3335.2719258195493
Nova Aurora,1999,15/03/,3322.0713155189446
Nova Aurora,1999,25/03/,3410.23737347939
Nova Aurora,2000,05/02/,3212.1791688481503
Nova Aurora,2000,15/02/,3438.3993643119766
Nova Aurora,2000,25/02/,3297.6647059051497
Nova Aurora,2000,05/03/,3291.6078502031605
Nova Aurora,2000,15/03/,3337.14130143891
Nova Aurora,2000,25/03/,3262.4282434259567
Nova Aurora,2001,05/02/,3671.492919371934
Nova Aurora,2001,15/02/,3624.0060252540457
Nova Aurora,2001,25/02/,3549.591692551476
Nova Aurora,2001,05/03/,3486.9153193447273
Nova Aurora,2001,15/03/,3312.2134713618084
Nova Aurora,2001,25/03/,3289.3947559566004
Nova Aurora,2002,05/02/,2775.150560066975
Nova Aurora,2002,15/02/,2778.076464135462
Nova Aurora,2002,25/02/,2645.609115690565
Nova Aurora,2002,05/03/,2766.688009074977
Nova Aurora,2002,15/03/,2784.468634302345
Nova Aurora,2002,25/03/,2850.871910784169
Nova Aurora,2003,05/02/,3545.405487944345
Nova Aurora,2003,15/02/,3364.4679988225257
Nova Aurora,2003,25/02/,3331.0552801732297
Nova Aurora,2003,05/03/,3375.244658750888
Nova Aurora,2003,15/03/,3340.7483944394357
Nova Aurora,2003,25/03/,3281.8119241811423
Nova Aurora,2004,05/02/,2939.7266649288663
Nova Aurora,2004,15/02/,2721.8322872472263
Nova Aurora,2004,25/02/,2642.0978533653865
Nova Aurora,2004,05/03/,2964.268977580421
Nova Aurora,2004,15/03/,2725.982875511885
Nova Aurora,2004,25/03/,2933.0899544732215
Nova Aurora,2005,05/02/,2605.837881300441
Nova Aurora,2005,15/02/,2571.9023128330896
Nova Aurora,2005,25/02/,3132.8434625790173
Nova Aurora,2005,05/03/,2553.41407490613
Nova Aurora,2005,15/03/,2826.2515666234226
Nova Aurora,2005,25/03/,2849.3328853764096
Nova Aurora,2006,05/02/,3445.1018994336387
Nova Aurora,2006,15/02/,3438.279125607457
Nova Aurora,2006,25/02/,3409.5612344782703
Nova Aurora,2006,05/03/,3417.129666036688
Nova Aurora,2006,15/03/,3259.113656253034
Nova Aurora,2006,25/03/,3374.7112019333413
Nova Aurora,2007,05/02/,3154.3088889625346
