Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2022,02/05,11.936.358.311.352.400,Medianeira,30.0,0.45,0.9,12,6
2022,03/05,1.098.519.073.962.780,Medianeira,30.0,0.45,0.9,12,6
2023,01/05,13.472.201.358.210.500,Medianeira,30.0,0.45,0.9,12,6
2023,02/05,13.279.579.028.173.100,Medianeira,30.0,0.45,0.9,12,6
2023,03/05,12.551.439.384.718.200,Medianeira,30.0,0.45,0.9,12,6
2024,01/05,1.353.219.599.925.590,Medianeira,30.0,0.45,0.9,12,6
2024,02/05,12.767.884.049.769.200,Medianeira,30.0,0.45,0.9,12,6
2024,03/05,12.011.890.040.697.100,Medianeira,30.0,0.45,0.9,12,6
2015,01/05,13.265.270.342.353.600,Santa Helena,30.0,0.45,0.9,12,6
2015,02/05,13.203.429.681.134.400,Santa Helena,30.0,0.45,0.9,12,6
2015,03/05,12.590.812.021.847.100,Santa Helena,30.0,0.45,0.9,12,6
2016,01/05,12.956.694.989.201.800,Santa Helena,30.0,0.45,0.9,12,6
2016,02/05,12.083.530.819.545.500,Santa Helena,30.0,0.45,0.9,12,6
2016,03/05,10.801.179.947.335.200,Santa Helena,30.0,0.45,0.9,12,6
2017,01/05,1.324.363.434.503.160,Santa Helena,30.0,0.45,0.9,12,6
2017,02/05,13.009.291.002.740.900,Santa Helena,30.0,0.45,0.9,12,6
2017,03/05,12.413.662.087.139.000,Santa Helena,30.0,0.45,0.9,12,6
2018,01/05,1.340.904.133.455.060,Santa Helena,30.0,0.45,0.9,12,6
2018,02/05,12.962.119.677.146.300,Santa Helena,30.0,0.45,0.9,12,6
2018,03/05,12.078.594.237.742.700,Santa Helena,30.0,0.45,0.9,12,6
2019,01/05,13.390.488.899.229.500,Santa Helena,30.0,0.45,0.9,12,6
2019,02/05,13.264.986.613.520.700,Santa Helena,30.0,0.45,0.9,12,6
2019,03/05,12.839.010.873.398.100,Santa Helena,30.0,0.45,0.9,12,6
2020,01/05,12.795.278.438.765.400,Santa Helena,30.0,0.45,0.9,12,6
2020,02/05,1.264.338.251.697.750,Santa Helena,30.0,0.45,0.9,12,6
2020,03/05,12.038.525.892.685.000,Santa Helena,30.0,0.45,0.9,12,6
2021,01/05,12.442.248.146.535.800,Santa Helena,30.0,0.45,0.9,12,6
2021,02/05,12.665.679.202.489.600,Santa Helena,30.0,0.45,0.9,12,6
2021,03/05,1.247.634.742.329.030,Santa Helena,30.0,0.45,0.9,12,6
2022,01/05,13.306.296.953.869.200,Santa Helena,30.0,0.45,0.9,12,6
2022,02/05,12.223.267.551.007.300,Santa Helena,30.0,0.45,0.9,12,6
2022,03/05,11.474.769.501.104.900,Santa Helena,30.0,0.45,0.9,12,6
2023,01/05,13.517.857.345.968.000,Santa Helena,30.0,0.45,0.9,12,6
2023,02/05,1.343.693.716.224.960,Santa Helena,30.0,0.45,0.9,12,6
2023,03/05,1.271.605.453.967.580,Santa Helena,30.0,0.45,0.9,12,6
2024,01/05,13.081.252.948.184.900,Santa Helena,30.0,0.45,0.9,12,6
2024,02/05,12.925.662.759.029.800,Santa Helena,30.0,0.45,0.9,12,6
2024,03/05,12.438.742.162.756.600,Santa Helena,30.0,0.45,0.9,12,6
2015,01/05,13.286.781.560.600.800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2015,02/05,13.132.691.002.861.600,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2015,03/05,1.238.490.871.429.790,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2016,01/05,1.285.236.601.273.020,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2016,02/05,11.719.995.778.414.200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2016,03/05,10.257.572.202.164.200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2017,01/05,1.322.548.993.564.290,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2017,02/05,12.863.398.292.347.500,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2017,03/05,12.108.268.356.137.300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2018,01/05,13.408.282.818.127.300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2018,02/05,12.679.031.752.352.100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
