municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico
Ibema,25/02/,0.7451315270622002,0.09624214902922816,27,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.9629629629629629,0.0,0.48148148148148145,Risco climático 30%
Ibema,25/03/,0.7535101742285151,0.11421883119981699,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.14814814814814814,0.5555555555555556,Inapto (risco > 40%)
Iguatu,05/02/,0.7520861418483235,0.11647762819256088,27,0.4444444444444444,0.14814814814814814,0.37037037037037035,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%)
Iguatu,05/03/,0.7120026447441471,0.11194678411796863,27,0.3333333333333333,0.18518518518518517,0.18518518518518517,1.0,0.0,0.4444444444444444,Risco climático 40%
Iguatu,15/02/,0.7387714699308018,0.10309283763016215,27,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.7407407407407407,0.0,0.2962962962962963,Risco climático 30%
Iguatu,15/03/,0.7187056881964966,0.10891636267495007,27,0.4444444444444444,0.2962962962962963,0.2222222222222222,1.0,0.037037037037037035,0.5185185185185185,Inapto (risco > 40%)
Iguatu,25/02/,0.7127013588256754,0.10906796064874605,27,0.3333333333333333,0.1111111111111111,0.25925925925925924,0.9259259259259259,0.0,0.37037037037037035,Risco climático 40%
Iguatu,25/03/,0.7115496578421684,0.12258676668024124,27,0.5185185185185185,0.4444444444444444,0.14814814814814814,1.0,0.14814814814814814,0.4444444444444444,Inapto (risco > 40%)
Iracema do Oeste,05/02/,0.7347737080776653,0.11741306350179934,27,0.48148148148148145,0.18518518518518517,0.4074074074074074,0.4074074074074074,0.0,0.14814814814814814,Inapto (risco > 40%)
Iracema do Oeste,05/03/,0.6963608670398883,0.11064566043017042,27,0.4444444444444444,0.25925925925925924,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%)
Iracema do Oeste,15/02/,0.7203413058412965,0.10277079998622055,27,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.7407407407407407,0.0,0.18518518518518517,Risco climático 30%
Iracema do Oeste,15/03/,0.702186966014458,0.10832935410025786,27,0.48148148148148145,0.2962962962962963,0.25925925925925924,1.0,0.037037037037037035,0.48148148148148145,Inapto (risco > 40%)
