,Unnamed: 0,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
304,304,2019,03/25,11.099595274656100,Cascavel,30.0,0.45,0.9,13,7
305,305,2020,03/25,1.021590921322710,Cascavel,30.0,0.45,0.9,13,7
306,306,2021,03/25,10.296740193618300,Cascavel,30.0,0.45,0.9,13,7
307,307,2022,03/25,9.608961772003840,Cascavel,30.0,0.45,0.9,13,7
308,308,2023,03/25,10.859614882404100,Cascavel,30.0,0.45,0.9,13,7
309,309,2024,03/25,1.114165933877990,Cascavel,30.0,0.45,0.9,13,7
310,310,2015,03/25,11.924693055374100,Foz do Iguaçu,30.0,0.45,0.9,13,7
311,311,2016,03/25,9.457243789433190,Foz do Iguaçu,30.0,0.45,0.9,13,7
312,312,2017,03/25,11.556126708365600,Foz do Iguaçu,30.0,0.45,0.9,13,7
313,313,2018,03/25,1.099605100849260,Foz do Iguaçu,30.0,0.45,0.9,13,7
314,314,2019,03/25,11.842706691702300,Foz do Iguaçu,30.0,0.45,0.9,13,7
