municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha_100pct,risco_economico,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis,topsis_score_rateio50,topsis_score_rateio_proporcional
Cascavel,05/03/,0.7469445789893377,0.0963326827484882,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3381.329356439191,397.58208526479,Alta produtividade prevista,3.8,-833.7313986364776,Mais viável,67.36570672475233,234.2355410509061,2,0,0,2,1.7285513380965325,0.827055608280793,Baixo risco integrado,0.869969586410701,0.8317758499395667
Cascavel,15/02/,0.7584233851814239,0.0910195884039641,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3398.249201356796,397.0108684374167,Alta produtividade prevista,7.7,-838.576524654693,Mais viável,62.52058070653696,229.3904150326907,1,0,0,1,2.045589113886707,0.8859209790488458,Baixo risco integrado,0.8964324724596946,0.8871182372238937
Cascavel,15/03/,0.7538578906509842,0.0979898937658732,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,3384.8196955938747,375.99928592485446,Alta produtividade prevista,7.7,-834.3618775949064,Mais viável,66.73522776632355,233.6050620924773,2,0,0,2,1.8902841534780481,0.857104905633572,Baixo risco integrado,0.8880961828676355,0.8605050030825842
Cascavel,25/02/,0.7400430828606211,0.0958472604838534,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3405.620391161045,382.0450526056972,Alta produtividade prevista,7.7,-825.5399409420069,Mais viável,75.55716441922321,242.42699874537692,1,0,0,1,1.6881833581152932,0.8195989903472171,Baixo risco integrado,0.8740832739678095,0.8256649883956988
Cascavel,25/03/,0.7488311875001863,0.114201501355666,27,0.4074074074074074,0.3703703703703703,0.074074074074074,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3378.3279614564462,352.8897452392822,Alta produtividade prevista,7.7,-836.5046333333531,Mais viável,64.592472027877,231.46230635403083,3,0,0,3,1.7554502164305106,0.8320332604591217,Baixo risco integrado,0.8685056859829824,0.8360584799385569
Catanduvas,05/02/,0.7784912185788306,0.1016497517187727,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3400.938954915168,319.38239111372917,Alta produtividade prevista,3.8,-838.6499459561105,Mais viável,62.4471594051195,229.31699373127336,2,0,0,2,2.482620603825662,0.9669549190628305,Baixo risco integrado,0.9323985642205078,0.9612409792053135
Catanduvas,05/03/,0.7542836333084773,0.0969021991687501,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.6296296296296297,Risco climático 40%,3395.4196595695853,384.9251612577065,Alta produtividade prevista,3.8,-828.5389750579767,Mais viável,72.55813030325348,239.4279646294072,2,0,0,2,1.9455182071749282,0.8674069862168164,Baixo risco integrado,0.9033585967244314,0.8713025179039884
Catanduvas,15/02/,0.7678353843316913,0.0913229357238973,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3427.0191184730406,377.48254075678585,Alta produtividade prevista,7.7,-830.0737390797332,Mais viável,71.02336628149698,237.8932006076508,1,0,0,1,2.370485288114777,0.9463709745734517,Baixo risco integrado,0.9514084381895207,0.9469421701823163
Catanduvas,15/03/,0.7622109327481338,0.0981148310458775,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,3385.463696234385,353.140928708334,Alta produtividade prevista,7.7,-832.9637650629217,Mais viável,68.13334029830844,235.00317462446225,2,0,0,2,2.070120964336578,0.8905341972734966,Baixo risco integrado,0.9116362510224656,0.8928498446330734
Catanduvas,25/02/,0.7486297998838322,0.0963385492468184,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4814814814814814,Risco climático 30%,3414.119399583608,369.4934021367622,Alta produtividade prevista,7.7,-822.6189013468527,Mais viável,78.47820401437735,245.34803834053116,1,0,0,1,1.9072168696996674,0.8603104659205796,Baixo risco integrado,0.9027246403597303,0.8649752868720942
