cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,19 - Seguro do crédito,0.0,0.0,0.0,6000.0,0.0,,Seguro,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,20 - Assistência Técnica,20.95,0.21,0.84,6000.0,0.61,,,1.356761632067946,28.42415619182347,0.2849199427342687
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,21 - Classificação,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,22 - Outros Impostos/Taxas,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,23 - CESSR,64.28,0.64,2.57,6000.0,1.87,,,1.356761632067946,87.21263770932758,0.8683274445234855
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,TOTAL DAS OUTRAS DESPESAS (B),363.84,3.64,14.53,6000.0,10.56,Total Outras Despesas (B),,1.356761632067946,493.64415221160147,4.938612340727324
Assis Chateaubriand,PR,2020,III - DESPESAS FINANCEIRAS,24 - Juros do Financiamento,46.31,0.46,1.85,6000.0,1.34,,Juros/Financiamento,1.356761632067946,62.831631181066584,0.6241103507512552
Assis Chateaubriand,PR,2020,III - DESPESAS FINANCEIRAS,TOTAL DAS DESPESAS FINANCEIRAS (C),46.31,0.46,1.85,6000.0,1.34,Total Despesas Financeiras (C),,1.356761632067946,62.831631181066584,0.6241103507512552
Assis Chateaubriand,PR,2020,III - DESPESAS FINANCEIRAS,CUSTO VARIÁVEL (A+B+C=D),2505.3,25.05,100.01,6000.0,72.69,Custo Variável (D),,1.356761632067946,3399.0949168198254,33.98687888330205
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,25 - Depreciação de benfeitorias/instalações,8.15,0.08,0.33,6000.0,0.24,,Máquinas/Depreciação,1.356761632067946,11.05760730135376,0.10854093056543569
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,26 - Depreciação de implementos,90.18,0.9,3.6,6000.0,2.62,,Máquinas/Depreciação,1.356761632067946,122.35276397988738,1.2210854688611514
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,27 - Depreciação de Máquinas,14.26,0.14,0.57,6000.0,0.41,,Máquinas/Depreciação,1.356761632067946,19.34742087328891,0.18994662848951246
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,TOTAL DE DEPRECIAÇÕES (E),112.59,1.13,4.5,6000.0,3.27,Total Depreciações (E),Máquinas/Depreciação,1.356761632067946,152.75779215453005,1.533140644236779
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,28 - Manutenção Periódica Benfeitorias/Instalações,104.35,1.04,4.17,6000.0,3.03,,,1.356761632067946,141.57807630629017,1.411032097350664
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,29 - Encargos Sociais,33.35,0.33,1.33,6000.0,0.97,,,1.356761632067946,45.248000429466,0.44773133858242226
