Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,ISNA,PA,Data semeadura,Data maturação,Municipio,Ano,Latitude,Longitude,Altitude
4,10.57318181818182,21.237272727272728,15.905227272727274,209.7,83.36954545454546,26.2428398436765,25.0181934589429,46.204312217644755,1.2246463847336,170.78841095469858,10.532709055086327,866.732049884234,0.9533340754267229,2315.0462472389454,2020-03-05,2020-06-12,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
1,17.541176470588233,30.676470588235293,24.108823529411765,36.99,65.35058823529413,17.944099119948422,10.95334564051628,8.551478059755885,6.990753479432139,22.43344984034373,11.924795273150586,1694.4774804965705,0.6104149095085786,5480.027525401369,2020-03-15,2020-06-22,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
2,12.955357142857142,28.143571428571427,20.549464285714286,53.09,62.28678571428571,61.785320947119246,37.211667712945356,13.364059449982994,24.57365323417389,11.065750896827534,11.376803400826432,2054.8619447731844,0.6022736006307071,2210.7001012176147,2020-03-15,2020-06-22,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
3,10.49121212121212,24.149696969696972,17.320454545454545,161.33,69.51818181818182,71.91417877699635,47.097596215352674,36.79341074474906,24.816582561643678,90.80305248988125,10.763726341724349,1578.9404321434113,0.6549139128933233,1829.2591773698543,2020-03-15,2020-06-22,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
4,13.386818181818182,23.04,18.213409090909092,111.75999999999999,84.72409090909092,27.54891914555881,26.203374598921013,37.81260346806375,1.3455445466377978,84.5374326777643,10.467934189618521,1163.3672361403728,0.9511579913706082,1811.3902388645558,2020-03-15,2020-06-22,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
1,15.416470588235294,29.558235294117647,22.48735294117647,31.02,61.92823529411765,16.210834592770198,10.335633063834395,15.304745111358626,5.8752015289358015,10.391561156329544,11.675768827455075,1536.0794864537822,0.6375756291069643,4987.347104200793,2020-03-25,2020-07-02,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
2,12.140714285714285,27.395357142857144,19.768035714285713,44.839999999999996,62.57892857142857,53.51924152123165,26.988718306958695,19.10609380637828,26.53052321427295,14.049932998021653,11.151237095106802,1768.8853590071378,0.5042806575697077,1278.8604637517342,2020-03-25,2020-07-02,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
3,10.493030303030302,22.55636363636364,16.524696969696972,245.10999999999999,77.74060606060607,60.926052633861886,51.21498105512492,47.24,9.71107157873697,165.76111275125336,10.622946513758677,1445.912746129143,0.8406088830816576,1176.940964901685,2020-03-25,2020-07-02,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
4,12.617727272727272,22.064545454545456,17.341136363636362,78.35000000000001,81.96818181818182,28.775371272034896,25.88961372373774,46.17864434496661,2.8857575482971574,53.52174193129566,10.453735801395949,1082.07053465285,0.8997143244125,1153.3349009433311,2020-03-25,2020-07-02,Cascavel,2020,-25.02937098765911,-53.3797126987861,661
1,16.470588235294116,26.578235294117647,21.524411764705885,33.27,78.66294117647058,23.551942525299374,16.802280536930873,12.493374124338455,6.749661988368498,8.706023447238957,12.863724036705927,1644.1847512361423,0.7134137882207361,7744.38363652616,2021-02-05,2021-05-15,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
2,18.291428571428572,28.651785714285715,23.471607142857145,89.14999999999999,77.28999999999999,85.13083765495261,59.10384121202413,20.314788255420623,26.026996442928485,22.224744656893705,12.3351995611892,2861.4291093677543,0.6942706408173781,4192.855466836871,2021-02-05,2021-05-15,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
3,16.687878787878788,28.615151515151513,22.651515151515152,28.68,71.33545454545455,119.67841675289932,45.710461567122934,3.2843266882976896,73.96795518577639,0.0,11.580468247059727,2841.3161287491234,0.3819440698442859,2897.145874054704,2021-02-05,2021-05-15,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
4,12.539545454545454,25.86,19.199772727272727,21.77,68.0840909090909,40.996792603291546,8.701230741303771,16.353095946993918,32.29556186198777,0.0,10.961834575167963,1400.1733287657341,0.21224174353105785,2440.6957575583992,2021-02-05,2021-05-15,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
1,18.062941176470588,28.28235294117647,23.17264705882353,43.88,76.08941176470589,22.4564618174412,16.00226145718194,21.520444444444433,6.454200360259255,12.262294098373625,12.63764586174625,1773.201818198983,0.712590504562634,7267.093908777246,2021-02-15,2021-05-25,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
2,18.282857142857143,28.554285714285715,23.41857142857143,80.89,78.83464285714285,75.39781466274384,58.08709079071525,20.734243607370857,17.31072387202859,23.589110046358325,12.087386832408916,2762.4695673601636,0.7704081484395818,4764.395589807839,2021-02-15,2021-05-25,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
3,14.820909090909092,28.03757575757576,21.429242424242425,5.34,66.56878787878787,109.72759038456469,23.799066783032508,2.2751768243383497,85.92852360153219,0.0,11.343772336234144,2519.740134291152,0.21689227567673178,2898.878095752723,2021-02-15,2021-05-25,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
4,11.179545454545455,24.473636363636363,17.82659090909091,40.07,68.91772727272728,37.30447092673836,14.476102400969086,27.869074423369263,22.828368525769275,0.0,10.77946278833805,1155.6581446352945,0.38805274652999283,2544.085997984674,2021-02-15,2021-05-25,Cascavel,2021,-25.02937098765911,-53.3797126987861,661
