,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
203,2018,02/25,11.18406135118336,Cascavel,30.0,0.45,0.9,0.013,0.006
204,2019,02/25,12.566530298555511,Cascavel,30.0,0.45,0.9,0.013,0.006
205,2020,02/25,11.377110510617506,Cascavel,30.0,0.45,0.9,0.013,0.006
206,2021,02/25,11.996457488091393,Cascavel,30.0,0.45,0.9,0.013,0.006
207,2022,02/25,10.370810507072315,Cascavel,30.0,0.45,0.9,0.013,0.006
208,2023,02/25,11.592297244969117,Cascavel,30.0,0.45,0.9,0.013,0.006
209,2024,02/25,12.461212485852432,Cascavel,30.0,0.45,0.9,0.013,0.006
210,2015,02/25,12.660510992375428,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
211,2016,02/25,10.516594485271506,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
212,2017,02/25,12.24434586248297,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
213,2018,02/25,11.76236731903735,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
214,2019,02/25,13.013410756020255,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
215,2020,02/25,11.879657295874647,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
216,2021,02/25,12.631219550188957,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
217,2022,02/25,11.117704594199932,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
218,2023,02/25,12.63552120205131,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
219,2024,02/25,12.45647756754165,Foz do Iguaçu,30.0,0.45,0.9,0.013,0.006
220,2015,02/25,12.865287511768265,Guaíra,30.0,0.45,0.9,0.013,0.006
221,2016,02/25,10.922684195297572,Guaíra,30.0,0.45,0.9,0.013,0.006
222,2017,02/25,12.449711848879684,Guaíra,30.0,0.45,0.9,0.013,0.006
223,2018,02/25,12.309377434853028,Guaíra,30.0,0.45,0.9,0.013,0.006
224,2019,02/25,13.134244949403133,Guaíra,30.0,0.45,0.9,0.013,0.006
225,2020,02/25,12.596003784793925,Guaíra,30.0,0.45,0.9,0.013,0.006
226,2021,02/25,12.79653037296932,Guaíra,30.0,0.45,0.9,0.013,0.006
227,2022,02/25,11.542121627458624,Guaíra,30.0,0.45,0.9,0.013,0.006
228,2023,02/25,12.6408912159774,Guaíra,30.0,0.45,0.9,0.013,0.006
229,2024,02/25,13.042634693651971,Guaíra,30.0,0.45,0.9,0.013,0.006
230,2015,02/25,12.856334580759512,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
231,2016,02/25,11.017889881571465,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
232,2017,02/25,12.52433417023636,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
233,2018,02/25,12.407658908557718,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
234,2019,02/25,13.159862638042188,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
235,2020,02/25,12.560159793004166,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
236,2021,02/25,12.974844158276934,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
237,2022,02/25,11.574479694005488,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
238,2023,02/25,12.744470005702942,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
239,2024,02/25,12.935900317939655,Marechal Cândido Rondon,30.0,0.45,0.9,0.013,0.006
240,2015,02/25,12.407465722789961,Matelândia,30.0,0.45,0.9,0.013,0.006
241,2016,02/25,9.887271968862912,Matelândia,30.0,0.45,0.9,0.013,0.006
242,2017,02/25,11.94384149584258,Matelândia,30.0,0.45,0.9,0.013,0.006
243,2018,02/25,11.38359525659409,Matelândia,30.0,0.45,0.9,0.013,0.006
244,2019,02/25,12.803716209946698,Matelândia,30.0,0.45,0.9,0.013,0.006
245,2020,02/25,11.534108939919923,Matelândia,30.0,0.45,0.9,0.013,0.006
246,2021,02/25,12.375201807318136,Matelândia,30.0,0.45,0.9,0.013,0.006
247,2022,02/25,10.712100479719737,Matelândia,30.0,0.45,0.9,0.013,0.006
248,2023,02/25,12.22732558193347,Matelândia,30.0,0.45,0.9,0.013,0.006
249,2024,02/25,12.400899831633794,Matelândia,30.0,0.45,0.9,0.013,0.006
250,2015,02/25,12.660001257303492,Medianeira,30.0,0.45,0.9,0.013,0.006
251,2016,02/25,10.51653747254557,Medianeira,30.0,0.45,0.9,0.013,0.006
252,2017,02/25,12.24422694983982,Medianeira,30.0,0.45,0.9,0.013,0.006
253,2018,02/25,11.762624329846195,Medianeira,30.0,0.45,0.9,0.013,0.006
254,2019,02/25,13.013282009153176,Medianeira,30.0,0.45,0.9,0.013,0.006
255,2020,02/25,11.879047533313662,Medianeira,30.0,0.45,0.9,0.013,0.006
256,2021,02/25,12.633360286912055,Medianeira,30.0,0.45,0.9,0.013,0.006
257,2022,02/25,11.117184124236788,Medianeira,30.0,0.45,0.9,0.013,0.006
258,2023,02/25,12.635084215423596,Medianeira,30.0,0.45,0.9,0.013,0.006
259,2024,02/25,12.456241585103967,Medianeira,30.0,0.45,0.9,0.013,0.006
260,2015,02/25,12.827719812780149,Santa Helena,30.0,0.45,0.9,0.013,0.006
261,2016,02/25,11.02717880934755,Santa Helena,30.0,0.45,0.9,0.013,0.006
262,2017,02/25,12.527386502223436,Santa Helena,30.0,0.45,0.9,0.013,0.006
