municipio,data_semeadura,isna_medio,isna_desvio,n_anos,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_economico,score_combinado
Iracema do Oeste,05/03/,0.6963608670398883,0.11064566043017042,27,Baixo risco climático,7.7,-876.4686205939767,Viabilidade intermediária,0,1,1
Iracema do Oeste,15/02/,0.7203413058412965,0.10277079998622052,27,Baixo risco climático,3.8,-898.3254474051254,Viabilidade intermediária,0,1,1
Iracema do Oeste,15/03/,0.702186966014458,0.10832935410025786,27,Baixo risco climático,7.7,-881.166102569424,Viabilidade intermediária,0,1,1
Iracema do Oeste,25/02/,0.6960652195693321,0.10855420378335554,27,Baixo risco climático,3.8,-880.834681675377,Viabilidade intermediária,0,1,1
Iracema do Oeste,25/03/,0.6942882644790394,0.12195383470310402,27,Baixo risco climático,3.8,-886.5630919789171,Viabilidade intermediária,0,1,1
Itaipulândia,05/02/,0.6553970683535913,0.13747062928883116,27,Baixo risco climático,3.8,-992.5414727322446,Menos viável,0,2,2
Itaipulândia,05/03/,0.6682330332641668,0.11114843934357296,27,Baixo risco climático,3.8,-949.9731701455979,Menos viável,0,2,2
Itaipulândia,15/02/,0.6587776398023449,0.1148595896664595,27,Baixo risco climático,3.8,-972.9519847670374,Menos viável,0,2,2
Itaipulândia,15/03/,0.6873748312987056,0.10909098845913873,27,Baixo risco climático,3.8,-981.9168373039041,Menos viável,0,2,2
Itaipulândia,25/02/,0.6568726971726491,0.11132836544726421,27,Baixo risco climático,3.8,-957.1798300831363,Menos viável,0,2,2
Itaipulândia,25/03/,0.6978257961538197,0.12244495769247221,27,Baixo risco climático,3.8,-955.206860427376,Menos viável,0,2,2
Jesuítas,05/02/,0.7367959649254892,0.11735747019859148,27,Baixo risco climático,7.7,-884.0258708681779,Viabilidade intermediária,0,1,1
Jesuítas,05/03/,0.6982077712546247,0.1107533653056234,27,Baixo risco climático,7.7,-877.0893200118509,Viabilidade intermediária,0,1,1
Jesuítas,15/02/,0.7224205090062198,0.10285044091227728,27,Baixo risco climático,3.8,-898.6129574743062,Viabilidade intermediária,0,1,1
Jesuítas,15/03/,0.7042952869668655,0.1082031668297552,27,Baixo risco climático,7.7,-881.0541138000117,Viabilidade intermediária,0,1,1
Jesuítas,25/02/,0.6980183959318849,0.10846856180763055,27,Baixo risco climático,3.8,-881.2904434109013,Viabilidade intermediária,0,1,1
Jesuítas,25/03/,0.6962902905294324,0.12195689303037456,27,Baixo risco climático,3.8,-886.8270644028669,Viabilidade intermediária,0,1,1
Lindoeste,05/02/,0.7417117965367299,0.11696977041145347,27,Baixo risco climático,7.7,-905.3556655657305,Viabilidade intermediária,0,1,1
Lindoeste,05/03/,0.749197543437797,0.08844187126247768,27,Baixo risco climático,3.8,-856.9492334104834,Mais viável,0,0,0
Lindoeste,15/02/,0.7425944183050469,0.0950285610144006,27,Baixo risco climático,7.7,-871.784778179633,Mais viável,0,0,0
Lindoeste,15/03/,0.7620880981383057,0.09117713571224315,27,Baixo risco climático,7.7,-874.7852531398659,Viabilidade intermediária,0,1,1
Lindoeste,25/02/,0.7362594492130029,0.09348822321590687,27,Baixo risco climático,7.7,-849.1135072034386,Mais viável,0,0,0
Lindoeste,25/03/,0.7628880361993928,0.10820583691594773,27,Baixo risco climático,7.7,-862.7167493851586,Mais viável,0,0,0
Marechal Cândido Rondon,05/02/,0.6808777217129695,0.13573794169757175,27,Baixo risco climático,3.8,-972.6368716550606,Menos viável,0,2,2
Marechal Cândido Rondon,05/03/,0.6769774831040876,0.12136509330679598,27,Baixo risco climático,3.8,-945.7005419489659,Menos viável,0,2,2
Marechal Cândido Rondon,15/02/,0.685796734504561,0.12110774052332933,27,Baixo risco climático,3.8,-964.3882682260589,Menos viável,0,2,2
Marechal Cândido Rondon,15/03/,0.6879052330312744,0.11850605868690074,27,Baixo risco climático,3.8,-984.3256595370409,Menos viável,0,2,2
Marechal Cândido Rondon,25/02/,0.6725215759785079,0.12195894051740108,27,Baixo risco climático,3.8,-930.7509028155879,Menos viável,0,2,2
Marechal Cândido Rondon,25/03/,0.6952316067111695,0.12482611225793992,27,Baixo risco climático,3.8,-956.9647317617715,Menos viável,0,2,2
Maripá,05/02/,0.7137829130995229,0.1251625707930031,27,Baixo risco climático,7.7,-907.594878709923,Viabilidade intermediária,0,1,1
Maripá,05/03/,0.6934528294598468,0.11207893168867479,27,Baixo risco climático,7.7,-901.7080378285459,Viabilidade intermediária,0,1,1
Maripá,15/02/,0.7094359496225356,0.10786079308628224,27,Baixo risco climático,3.8,-937.585200003284,Menos viável,0,2,2
Maripá,15/03/,0.6999660604332886,0.11221486569462415,27,Baixo risco climático,7.7,-919.841010842296,Menos viável,0,2,2
Maripá,25/02/,0.6910159898322649,0.11026277893644279,27,Baixo risco climático,7.7,-904.5339020210855,Viabilidade intermediária,0,1,1
Maripá,25/03/,0.7007160600511575,0.12227085747156403,27,Baixo risco climático,7.7,-911.3152508092464,Menos viável,0,2,2
Matelândia,05/02/,0.7386598020164937,0.11522752499217336,27,Baixo risco climático,7.7,-907.64079232852,Viabilidade intermediária,0,1,1
Matelândia,05/03/,0.7458854476460262,0.08854992375498545,27,Baixo risco climático,3.8,-860.9518152443122,Mais viável,0,0,0
Matelândia,15/02/,0.7387061217364095,0.09434985125110767,27,Baixo risco climático,7.7,-876.0046627442225,Viabilidade intermediária,0,1,1
Matelândia,15/03/,0.7586001221402723,0.09123011301538811,27,Baixo risco climático,7.7,-879.7305759610172,Viabilidade intermediária,0,1,1
Matelândia,25/02/,0.7337103562779154,0.09307421145414341,27,Baixo risco climático,7.7,-850.828747371658,Mais viável,0,0,0
Matelândia,25/03/,0.7595208577917512,0.1078791749885075,27,Baixo risco climático,7.7,-867.700554912227,Mais viável,0,0,0
