municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado
Diamante D'Oeste,05/03/,0.6850264488333935,0.1138339290514844,27,0.4444444444444444,0.3703703703703703,0.1851851851851851,0.925925925925926,0.0,0.4444444444444444,Inapto (risco > 40%),2931.331285909794,653.9195103835634,Baixa produtividade prevista,3.8,-950.8631338466182,Menos viável,3,2,2,7
Diamante D'Oeste,15/02/,0.6753336280949022,0.1191067434224431,27,0.4074074074074074,0.1481481481481481,0.2962962962962963,0.4814814814814814,0.0,0.3333333333333333,Inapto (risco > 40%),2903.13681971817,593.0449039031027,Baixa produtividade prevista,3.8,-967.6278434933216,Menos viável,3,2,2,7
Diamante D'Oeste,15/03/,0.7042963443197316,0.1098182330519057,27,0.7037037037037037,0.5185185185185185,0.1851851851851851,1.0,0.0,0.4814814814814814,Inapto (risco > 40%),2884.5667047938846,560.7816630401484,Baixa produtividade prevista,3.8,-982.9362338058376,Menos viável,3,2,2,7
Diamante D'Oeste,25/02/,0.6714475147844282,0.1147763135401152,27,0.4074074074074074,0.2962962962962963,0.1851851851851851,0.7777777777777778,0.0,0.3703703703703703,Inapto (risco > 40%),2882.384842235164,597.4405769858822,Baixa produtividade prevista,3.8,-958.949522466556,Menos viável,3,2,2,7
Diamante D'Oeste,25/03/,0.7122999577748649,0.1239961966175386,27,0.7777777777777778,0.7407407407407407,0.1111111111111111,1.0,0.0,0.4444444444444444,Inapto (risco > 40%),2947.003902803163,566.3550358162328,Baixa produtividade prevista,3.8,-953.7102373506696,Menos viável,3,2,2,7
Diamante do Sul,05/02/,0.7865006425967768,0.0986608237318847,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5925925925925926,0.037037037037037,0.2962962962962963,Risco climático 40%,3402.397197445286,261.13234332021796,Alta produtividade prevista,3.8,-835.8134452514701,Mais viável,2,0,0,2
Diamante do Sul,05/03/,0.7519850485996757,0.1062485579578874,27,0.2962962962962963,0.1851851851851851,0.1111111111111111,1.0,0.037037037037037,0.6296296296296297,Risco climático 30%,3386.3235637893736,341.0056532718527,Alta produtividade prevista,3.8,-831.2301668083679,Mais viável,1,0,0,1
Diamante do Sul,15/02/,0.7733917255924263,0.0906534499789454,27,0.2592592592592592,0.0,0.2592592592592592,0.8518518518518519,0.037037037037037,0.3333333333333333,Risco climático 30%,3436.3617278992424,327.45079139486734,Alta produtividade prevista,3.8,-825.2527468401834,Mais viável,1,0,0,1
Diamante do Sul,15/03/,0.7553618902848377,0.1046329687328264,27,0.3703703703703703,0.2592592592592592,0.1111111111111111,1.0,0.074074074074074,0.5925925925925926,Risco climático 40%,3361.4442684915434,297.7467111738121,Alta produtividade prevista,3.8,-840.9461693418815,Mais viável,2,0,0,2
Diamante do Sul,25/02/,0.7518248356174089,0.09822140529464,27,0.3333333333333333,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.037037037037037,0.4074074074074074,Risco climático 40%,3398.627760808938,327.4225124486019,Alta produtividade prevista,3.8,-829.7111424279445,Mais viável,2,0,0,2
Diamante do Sul,25/03/,0.7505724164063592,0.1194022968498987,27,0.4444444444444444,0.3703703703703703,0.1111111111111111,1.0,0.1851851851851851,0.5925925925925926,Inapto (risco > 40%),3340.3466653312325,284.3830969532745,Alta produtividade prevista,3.8,-848.4157168890563,Mais viável,3,0,0,3
Entre Rios do Oeste,05/02/,0.670608836434018,0.1352887915620564,27,0.5555555555555556,0.2592592592592592,0.4814814814814814,0.1481481481481481,0.0,0.1481481481481481,Inapto (risco > 40%),2891.9934646475035,612.2513636830874,Baixa produtividade prevista,3.8,-975.818959286345,Menos viável,3,2,2,7
Entre Rios do Oeste,05/03/,0.6647078922010426,0.1205975342705338,27,0.5185185185185185,0.4814814814814814,0.2222222222222222,0.925925925925926,0.0,0.3703703703703703,Inapto (risco > 40%),2962.9889874693645,619.3418774708641,Baixa produtividade prevista,3.8,-941.9974691629976,Menos viável,3,2,2,7
Entre Rios do Oeste,15/02/,0.6742949522972731,0.1187660251113539,27,0.3333333333333333,0.074074074074074,0.2962962962962963,0.4814814814814814,0.0,0.2222222222222222,Risco climático 40%,2907.327841791437,630.8393280156755,Baixa produtividade prevista,3.8,-968.7835965893051,Menos viável,2,2,2,6
Entre Rios do Oeste,15/03/,0.6757579894738112,0.1185876518580209,27,0.7037037037037037,0.5925925925925926,0.1481481481481481,1.0,0.0,0.2592592592592592,Inapto (risco > 40%),2897.794510167976,534.613228854736,Baixa produtividade prevista,3.8,-981.9931663888732,Menos viável,3,2,2,7
Entre Rios do Oeste,25/02/,0.6600834183685463,0.1202734418910496,27,0.4444444444444444,0.2592592592592592,0.2592592592592592,0.7777777777777778,0.0,0.2962962962962963,Inapto (risco > 40%),2975.227718056511,601.4090980157554,Baixa produtividade prevista,3.8,-933.2152649688198,Menos viável,3,2,2,7
Entre Rios do Oeste,25/03/,0.6836398239872663,0.1242487011671187,27,0.7407407407407407,0.6666666666666666,0.1481481481481481,1.0,0.0,0.3703703703703703,Inapto (risco > 40%),2953.701379571287,585.2085515929971,Baixa produtividade prevista,3.8,-955.2078374530976,Menos viável,3,2,2,7
Formosa do Oeste,05/02/,0.7349893275277244,0.1174309023281426,27,0.4814814814814814,0.1851851851851851,0.4074074074074074,0.4074074074074074,0.0,0.1481481481481481,Inapto (risco > 40%),3213.8569160700026,400.0058063385156,Produtividade prevista intermediária,7.7,-885.7174615202828,Viabilidade intermediária,3,1,1,5
Formosa do Oeste,05/03/,0.6966582932730057,0.1105926960973666,27,0.4444444444444444,0.2592592592592592,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3192.2813238339118,454.03474560494334,Produtividade prevista intermediária,7.7,-880.9749729063612,Viabilidade intermediária,3,1,1,5
Formosa do Oeste,15/02/,0.7205828513635459,0.1027630829809282,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.1851851851851851,Risco climático 30%,3196.6067780990447,397.1056677753943,Produtividade prevista intermediária,3.8,-901.062980730857,Viabilidade intermediária,1,1,1,3
