Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,Data semeadura,Data maturação,ISNA,PA,Municipio,Ano
4,14.04,20.816363636363636,17.42818181818182,129.5,87.32454545454546,30.609749917548783,27.631959489481556,45.32,2.977790428067226,85.96578404521814,10.668464726614488,1172.853189605356,2010-02-25,2010-06-04,0.9027175839042044,2742.0599732348173,Mercedes,2010
1,23.304117647058824,31.689411764705884,27.496764705882352,64.89,69.68411764705883,24.397459321622083,15.183585599444553,20.64577777777777,9.21387372217753,34.72563662277768,12.19478863022261,1943.416397718744,2010-03-05,2010-06-12,0.6223429005162108,6687.01952667947,Mercedes,2010
2,20.6525,28.294999999999998,24.47375,107.55,75.89214285714286,78.91445488932834,35.12744400183815,4.909600177979442,43.78701088749019,88.15873359796018,11.650030053703919,2670.6227226861506,2010-03-05,2010-06-12,0.44513320216304836,1121.411858916761,Mercedes,2010
3,16.42787878787879,23.60030303030303,20.01409090909091,211.0,83.15181818181819,83.0675184397169,65.7518839794872,40.28436008696919,17.3156344602297,109.87335611152305,10.987071489800762,2200.348914946011,2010-03-05,2010-06-12,0.7915474690291145,1004.531288790779,Mercedes,2010
4,13.559545454545455,20.730454545454545,17.145,53.82,85.39863636363636,32.433199936775075,30.09820000836178,37.09369392083523,2.3349999284132976,26.912466157772176,10.581686953585065,1062.5430734875952,2010-03-05,2010-06-12,0.9280058725945909,990.0672180731943,Mercedes,2010
1,23.75176470588235,30.03470588235294,26.89323529411765,126.89,79.77941176470588,18.777670114296498,14.61126595320118,13.861647483550772,4.166404161095318,104.02658298251589,11.951210096578128,1954.7419953316598,2010-03-15,2010-06-22,0.7781192162959983,6639.512455357391,Mercedes,2010
2,19.196428571428573,27.767142857142858,23.481785714285714,123.58,75.71321428571427,65.81579242970946,33.64025476838992,45.31999999999998,32.17553766131954,58.481392715160865,11.416441967113466,2385.3770246681934,2010-03-15,2010-06-22,0.5111273985543416,1770.6988657852635,Mercedes,2010
3,14.878181818181819,21.727575757575757,18.30287878787879,121.33000000000001,84.59939393939395,73.7646299213705,63.46582948771182,39.52655476699825,10.298800433658672,63.6576157452899,10.813087171288249,1909.5783378171209,2010-03-15,2010-06-22,0.8603829444459128,1647.0889848283134,Mercedes,2010
4,13.788636363636364,21.48409090909091,17.636363636363637,33.71,83.65681818181818,34.184711680005165,28.17623932511707,31.370130506687463,6.008472354888096,13.69018493519372,10.51397251600982,1036.4802134259792,2010-03-15,2010-06-22,0.8242351021962112,1589.1888994098945,Mercedes,2010
1,20.845294117647057,27.508823529411764,24.17705882352941,18.42,77.20705882352941,18.59360991370001,11.892734867351928,6.559465355242697,6.7008750463480835,6.514021999627599,11.708563942537806,1592.6186784033646,2010-03-25,2010-07-02,0.6396140890634264,5698.237950666695,Mercedes,2010
2,18.575357142857143,26.888928571428572,22.732142857142858,133.82,78.94392857142857,54.66428685724593,35.479964920346525,33.51680364131154,19.18432193689941,71.38269679358464,11.19543545185111,2235.839178297929,2010-03-25,2010-07-02,0.6490520037881651,2698.560164579631,Mercedes,2010
3,13.371818181818181,20.39212121212121,16.881969696969698,131.0,84.8,66.47227659835488,55.856043425083136,34.884984086357264,10.616233173271741,73.77577612987115,10.672488174940948,1599.102568513615,2010-03-25,2010-07-02,0.8402908142078814,2483.0677412316018,Mercedes,2010
4,15.544545454545455,24.064545454545453,19.804545454545455,7.24,82.16045454545454,38.25481502756717,23.10027668100491,19.024707405352352,15.154538346562259,0.0,10.49516704424222,1230.4602662185007,2010-03-25,2010-07-02,0.6038527872728806,2286.335668291297,Mercedes,2010
1,23.298235294117646,28.35705882352941,25.82764705882353,135.29,83.06176470588235,19.488758536650817,17.69395387974159,10.247313586173366,1.7948046569092264,113.89495475630727,12.840299303190928,2173.557804537212,2011-02-05,2011-05-15,0.9079056445009622,10097.399586497173,Mercedes,2011
2,22.869285714285716,29.756071428571428,26.31267857142857,55.16,74.15892857142856,93.13360353134723,50.48161185579823,7.280243875527298,42.651991675549006,7.645457854847837,12.32613620834709,3296.1556566503223,2011-02-05,2011-05-15,0.5420343457322249,3161.006274447164,Mercedes,2011
3,21.60242424242424,29.874848484848485,25.738636363636363,127.02,74.00848484848484,136.59843455187533,99.46776382770379,31.97643334629762,37.13067072417155,2.856046701525888,11.591818395983525,3352.417389013006,2011-02-05,2011-05-15,0.7281764549792801,2731.3883087706804,Mercedes,2011
4,18.38681818181818,26.735454545454544,22.561136363636365,15.33,72.95045454545455,54.54603160163655,32.651511095787875,14.654922250509744,21.894520505848675,0.0,10.990043940231274,1661.4605745268345,2011-02-05,2011-05-15,0.5986047038994532,2512.1150249777647,Mercedes,2011
1,23.614117647058823,28.808823529411764,26.211470588235294,39.36,79.49764705882353,20.242843219385943,15.972566712957015,17.718996666542893,4.270276506428928,10.45132246384274,12.620384297623426,2128.556586660128,2011-02-15,2011-05-25,0.789047592764073,8991.325758266312,Mercedes,2011
