municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha_operacional_conab,risco_economico,margem_media_rs_ha_100pct,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_economico,score_combinado
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.0997492252116035,27,0.3703703703703703,0.2592592592592592,0.1481481481481481,1.0,0.0,0.5925925925925926,Risco climático 40%,50.0,88.56363683952107,Mais viável,-841.0285450917485,60.06856026948155,226.9383945956354,2,0,2
Boa Vista da Aparecida,15/02/,0.7472407744886106,0.0962708530555981,27,0.2222222222222222,0.037037037037037,0.1851851851851851,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,50.0,92.29326153229756,Mais viável,-837.2989203989721,63.79818496225805,230.66801928841176,1,0,1
Boa Vista da Aparecida,15/03/,0.7516551028725231,0.105215305114228,27,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Inapto (risco > 40%),50.0,83.44712715730415,Mais viável,-846.1450547739653,54.95205058726473,221.8218849134185,3,0,3
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.0986506700555185,27,0.2592592592592592,0.1851851851851851,0.1111111111111111,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,50.0,96.04146070925982,Mais viável,-833.5507212220099,67.54638413922034,234.41621846537413,1,0,1
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.1197616320394461,27,0.4814814814814814,0.4074074074074074,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),50.0,81.57021762644086,Mais viável,-848.0219643048289,53.07514105640144,219.9449753825552,3,0,3
Braganey,05/02/,0.7750169967399642,0.1020588779249508,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,50.0,79.79143309279267,Mais viável,-849.8007488384766,51.296356522753214,218.166190848907,2,0,2
Braganey,05/03/,0.7487224708555713,0.0986556873581582,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,50.0,92.2961628787468,Mais viável,-837.2960190525228,63.80108630870728,230.67092063486103,2,0,2
Braganey,15/02/,0.763423756721751,0.0927218903440827,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,50.0,90.31839267571114,Mais viável,-839.2737892555584,61.82331610567156,228.69315043182536,1,0,1
Braganey,15/03/,0.7566078904766572,0.1004810545849531,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,50.0,86.25547264126898,Mais viável,-843.3367092900006,57.760396071229394,224.6302303973832,2,0,2
Braganey,25/02/,0.7429193238747942,0.0974770215229195,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,50.0,98.19742364499793,Mais viável,-831.3947582862717,69.70234707495828,236.5721814011121,1,0,1
Braganey,25/03/,0.7499272613639866,0.115788185402448,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),50.0,79.80896944848763,Mais viável,-849.7832124827819,51.31389287844816,218.1837272046019,3,0,3
Cafelândia,05/02/,0.7366026160824503,0.1173105635896937,27,0.4444444444444444,0.1851851851851851,0.3703703703703703,0.4074074074074074,0.0,0.1481481481481481,Inapto (risco > 40%),50.0,50.32282526516606,Viabilidade intermediária,-879.2693566661036,21.82774869512652,188.69758302128028,3,1,4
Cafelândia,05/03/,0.6978795579441178,0.1108465398763539,27,0.4444444444444444,0.2592592592592592,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),50.0,61.17245210789935,Mais viável,-868.4197298233702,32.67737553785983,199.5472098640136,3,0,3
Cafelândia,15/02/,0.7222215252492826,0.1028729969288194,27,0.3333333333333333,0.074074074074074,0.2962962962962963,0.7407407407407407,0.0,0.1851851851851851,Risco climático 40%,50.0,38.03629858903439,Viabilidade intermediária,-891.5558833422352,9.541222018994825,176.4110563451486,2,1,3
